City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Ponta Do Sol,PT,32.6667,-17.1,79.43,73,33,0.63,scattered clouds
160,Mahibadhoo,MV,3.7833,72.9667,81.9,80,100,11.68,overcast clouds
161,Banda Aceh,ID,5.5577,95.3222,80.33,82,100,13.2,overcast clouds
162,Cockburn Town,TC,21.4612,-71.1419,82.09,76,46,18.59,scattered clouds
163,Penzance,GB,50.1186,-5.5371,77.68,57,20,8.05,few clouds
164,Mitchell,US,43.7094,-98.0298,66.11,79,0,11.5,clear sky
165,Nicoya,CR,10.1483,-85.452,78.94,82,61,3.15,broken clouds
166,Ust-Nera,RU,64.5667,143.2,65.17,63,31,2.42,scattered clouds
167,Kununurra,AU,-15.7667,128.7333,69.78,73,3,0.0,clear sky
168,Pudozh,RU,61.8099,36.5345,63.25,60,100,3.29,overcast clouds
169,Port-Gentil,GA,-0.7193,8.7815,82.36,61,20,12.66,few clouds
170,Diego De Almagro,CL,-26.3667,-70.05,70.47,4,0,3.24,clear sky
171,Freeport,US,40.6576,-73.5832,90.97,66,0,14.97,clear sky
172,Sierpc,PL,52.8568,19.6691,68.95,44,44,3.29,light rain
173,Talnakh,RU,69.4865,88.3972,55.56,87,99,3.71,overcast clouds
174,Guerrero Negro,MX,27.9769,-114.0611,73.58,74,100,5.75,overcast clouds
175,Dabakala,CI,8.3667,-4.4333,81.77,64,100,5.21,overcast clouds
176,Bowen,AU,-20.0167,148.2333,58.53,75,13,8.84,few clouds
177,Esso,RU,55.9333,158.7,53.71,71,100,7.49,overcast clouds
178,Goya,AR,-29.14,-59.2626,51.67,87,100,8.77,overcast clouds
179,Cherskiy,RU,68.75,161.3,61.09,81,100,9.19,moderate rain
180,Malitubog,PH,7.3156,124.6381,74.59,95,100,3.11,overcast clouds
181,Noumea,NC,-22.2763,166.4572,70.0,99,47,6.53,scattered clouds
182,East London,ZA,-33.0153,27.9116,70.74,73,0,10.36,clear sky
183,Kuytun,RU,54.3419,101.5036,60.26,72,100,5.37,overcast clouds
184,Arrecife,ES,28.963,-13.5477,82.38,51,20,20.71,few clouds
185,Mapiripan,CO,2.8892,-72.1256,81.09,76,42,1.68,moderate rain
186,Puerto Madryn,AR,-42.7692,-65.0385,45.97,56,100,12.48,overcast clouds
187,Bud,US,39.447,-86.1758,74.68,98,85,6.15,overcast clouds
188,Launceston,AU,-41.45,147.1667,39.15,89,1,4.61,clear sky
189,Kilwinning,GB,55.6533,-4.7067,75.38,60,20,12.66,few clouds
190,Saskylakh,RU,71.9167,114.0833,55.54,76,5,10.47,clear sky
191,Sobolevo,RU,54.4299,31.8996,67.86,64,67,9.73,broken clouds
192,Severo-Kurilsk,RU,50.6789,156.125,55.0,97,100,22.01,moderate rain
193,Caravelas,BR,-17.7125,-39.2481,80.37,54,20,7.63,few clouds
194,Collie,AU,-33.3667,116.15,39.15,97,9,4.29,clear sky
195,Morwa,IN,22.9,73.8333,78.69,96,100,9.35,very heavy rain
196,Bintulu,MY,3.1667,113.0333,79.21,94,20,2.3,few clouds
197,Miles City,US,46.4083,-105.8406,63.57,72,0,0.0,clear sky
198,Huntsville,US,34.7304,-86.5861,80.85,90,40,8.05,scattered clouds
199,Linguere,SN,15.3953,-15.1193,95.94,45,70,8.55,broken clouds
200,Khatanga,RU,71.9667,102.5,60.08,65,62,4.74,broken clouds
201,Voznesenye,RU,61.0106,35.4781,65.37,52,96,3.29,overcast clouds
202,Agirish,RU,61.9247,63.0231,75.6,35,17,7.0,few clouds
203,Saldanha,ZA,-33.0117,17.9442,69.85,72,87,9.13,overcast clouds
204,Kapaa,US,22.0752,-159.319,77.11,84,75,13.8,broken clouds
205,Talaya,RU,61.3833,152.75,60.06,65,100,6.51,overcast clouds
206,Lebu,CL,-37.6167,-73.65,48.09,68,100,6.08,overcast clouds
207,Chuy,UY,-33.6971,-53.4616,54.95,66,1,12.12,clear sky
208,Chiang Khong,TH,20.2613,100.4046,74.91,95,17,1.68,few clouds
209,Pisco,PE,-13.7,-76.2167,59.05,82,100,1.14,overcast clouds
210,Nikolskoye,RU,59.7035,30.7861,70.88,52,97,4.25,overcast clouds
211,Wyszkow,PL,52.5928,21.4584,76.71,43,85,8.55,overcast clouds
212,Nemuro,JP,43.3236,145.575,67.06,100,100,12.93,light rain
213,Hasaki,JP,35.7333,140.8333,82.8,87,100,24.56,overcast clouds
214,Henties Bay,NA,-22.116,14.2845,61.3,67,0,11.81,clear sky
215,Waitati,NZ,-45.75,170.5667,38.8,60,8,6.29,clear sky
216,Inirida,CO,3.8653,-67.9239,76.03,94,100,1.03,overcast clouds
217,Kaitangata,NZ,-46.2817,169.8464,31.33,90,6,4.14,clear sky
218,Karratha,AU,-20.7377,116.8463,71.82,32,100,14.97,overcast clouds
219,Thompson,CA,55.7435,-97.8558,55.56,88,75,12.66,broken clouds
220,Le Port,RE,-20.9373,55.2919,72.25,68,46,4.23,scattered clouds
221,Tiksi,RU,71.6872,128.8694,54.43,67,56,11.99,broken clouds
222,Obertyn,UA,48.7003,25.1701,62.65,82,100,6.87,overcast clouds
223,Puerto Cabezas,NI,14.0351,-83.3888,75.16,100,75,0.0,light thunderstorm
224,Monteagudo,BO,-19.8167,-63.9833,47.77,94,100,5.55,overcast clouds
225,Port Hardy,CA,50.6996,-127.4199,53.78,100,100,4.61,mist
226,Mackay,AU,-21.15,149.2,50.68,65,3,7.7,clear sky
227,Kruisfontein,ZA,-34.0033,24.7314,76.17,33,77,6.91,broken clouds
228,Pevek,RU,69.7008,170.3133,46.98,56,99,12.21,overcast clouds
229,Camacha,PT,33.0833,-16.3333,72.82,64,40,13.8,scattered clouds
230,Bambous Virieux,MU,-20.3428,57.7575,70.05,88,75,19.57,light rain
231,Okhotsk,RU,59.3833,143.3,58.59,78,100,22.53,light rain
232,Umm Lajj,SA,25.0213,37.2685,90.1,65,38,6.4,scattered clouds
233,Nzega,RW,-2.479,29.5564,75.18,29,92,5.93,overcast clouds
234,Lompoc,US,34.6391,-120.4579,59.52,88,100,18.01,mist
235,Susangerd,IR,31.5608,48.1831,121.3,5,0,26.15,clear sky
236,Tiarei,PF,-17.5333,-149.3333,73.42,68,100,9.78,overcast clouds
237,Manoel Urbano,BR,-8.8389,-69.2597,85.6,60,47,2.26,scattered clouds
238,Novoukrainskiy,RU,44.8969,38.0522,95.23,15,0,19.91,clear sky
239,Saint-Augustin,CA,51.226,-58.6502,67.21,43,100,4.76,overcast clouds
240,Bellavista,PE,-7.0561,-76.5911,74.68,88,40,0.0,scattered clouds
241,Kosh-Agach,RU,50.0,88.6667,54.12,79,67,4.7,light rain
242,Zhangye,CN,38.9342,100.4517,75.9,64,100,4.83,overcast clouds
243,Nouadhibou,MR,20.931,-17.0347,85.98,58,6,11.5,clear sky
244,Chadiza,ZM,-14.0678,32.4392,82.53,18,0,5.53,clear sky
245,Mar Del Plata,AR,-38.0023,-57.5575,53.94,79,0,3.0,clear sky
246,Hovd,MN,48.0056,91.6419,70.48,42,7,2.42,clear sky
247,Grand Gaube,MU,-20.0064,57.6608,70.2,80,9,8.99,light rain
248,Vaitape,PF,-16.5167,-151.75,76.17,66,100,8.5,overcast clouds
249,Coaticook,CA,45.1334,-71.7991,69.57,99,100,3.58,overcast clouds
