City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Durango,MX,2022-08-07 20:52:30,24.8333,-104.8333,81.16,26,98,14.81
214,Chihuahua,MX,2022-08-07 20:55:46,28.5,-106.0,85.39,27,58,12.12
215,Zomba,MW,2022-08-07 20:55:46,-15.386,35.3188,59.25,58,0,2.91
216,Hasaki,JP,2022-08-07 20:55:46,35.7333,140.8333,77.4,91,10,11.72
217,Linhares,BR,2022-08-07 20:55:47,-19.3911,-40.0722,73.62,66,4,9.19
218,Meulaboh,ID,2022-08-07 20:55:47,4.1363,96.1285,75.87,88,84,4.09
219,Los Llanos De Aridane,ES,2022-08-07 20:55:47,28.6585,-17.9182,74.12,82,100,14.97
220,Fallon,US,2022-08-07 20:55:48,39.4735,-118.7774,95.92,21,20,6.91
221,Kokopo,PG,2022-08-07 20:55:48,-4.352,152.2633,77.04,81,54,5.88
222,Deputatskiy,RU,2022-08-07 20:55:48,69.3,139.9,46.67,96,100,4.23
223,Sorong,ID,2022-08-07 20:55:49,-0.8833,131.25,77.18,87,95,8.05
224,Havoysund,NO,2022-08-07 20:55:49,70.9963,24.6622,50.23,85,100,19.42
225,Pokhara,NP,2022-08-07 20:55:49,28.2333,83.9833,72.66,84,99,3.31
226,Namibe,AO,2022-08-07 20:56:50,-15.1961,12.1522,61.81,89,38,1.5
227,Viedma,AR,2022-08-07 20:56:50,-40.8135,-62.9967,47.07,73,100,6.64
228,Half Moon Bay,US,2022-08-07 20:56:50,37.4636,-122.4286,81.57,65,100,11.5
229,Bismarck,US,2022-08-07 20:52:17,46.8083,-100.7837,69.66,67,100,1.99
230,Mackay,AU,2022-08-07 20:56:51,-21.15,149.2,55.69,68,3,11.74
231,Benguela,AO,2022-08-07 20:56:51,-12.5763,13.4055,67.05,86,40,2.98
232,Horki,BY,2022-08-07 20:56:51,54.2861,30.9842,54.12,92,2,4.81
